ID	TranscriptomeName
F6X01_RS03210	ornithine carbamoyltransferase
F6X01_RS03215	carbamate kinase
F6X01_RS03220	ArgR family transcriptional regulator
F6X01_RS03225	peptidyl-tRNA hydrolase
F6X01_RS03230	amino acid-binding protein
F6X01_RS03235	aldo/keto reductase
F6X01_RS03240	thiol peroxidase
F6X01_RS03245	amino acid permease
F6X01_RS03250	alpha-amylase family protein
F6X01_RS03255	nucleotide sugar dehydrogenase
F6X01_RS03270	methylmalonyl-CoA mutase small subunit
F6X01_RS03275	methylmalonyl-CoA mutase
F6X01_RS03280	methylmalonyl Co-A mutase-associated GTPase MeaB
F6X01_RS03285	S8 family serine peptidase
F6X01_RS03290	RNA-binding S4 domain-containing protein
F6X01_RS03295	amino acid ABC transporter ATP-binding protein
F6X01_RS03300	amino acid ABC transporter permease
F6X01_RS03305	hypothetical protein
F6X01_RS03310	LacI family transcriptional regulator
F6X01_RS03315	extracellular solute-binding protein
F6X01_RS03320	sugar ABC transporter permease
F6X01_RS03325	sugar ABC transporter permease
F6X01_RS03330	carbohydrate ABC transporter permease
F6X01_RS03335	alpha-L-fucosidase
F6X01_RS03340	L-fucose isomerase
F6X01_RS03345	fucose isomerase
F6X01_RS03355	class II aldolase/adducin family protein
F6X01_RS03360	hypothetical protein
F6X01_RS03365	ABC transporter ATP-binding protein
F6X01_RS03370	ABC transporter permease
F6X01_RS03375	hypothetical protein
F6X01_RS03380	metal ABC transporter permease
F6X01_RS03385	ABC transporter ATP-binding protein
F6X01_RS03390	zinc ABC transporter substrate-binding protein
F6X01_RS03395	isochorismatase family protein
F6X01_RS03400	cytosine permease
F6X01_RS03405	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
F6X01_RS03410	zinc-dependent dehydrogenase
F6X01_RS03415	dihydroxyacetone kinase family protein
F6X01_RS03420	phosphoribosyltransferase
F6X01_RS03425	GNAT family N-acetyltransferase
F6X01_RS03430	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
F6X01_RS03435	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
F6X01_RS03440	ferredoxin family protein
F6X01_RS03445	succinyldiaminopimelate transaminase
F6X01_RS03450	hypothetical protein
F6X01_RS03455	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
F6X01_RS03460	hypothetical protein
F6X01_RS03465	serine/threonine protein kinase
F6X01_RS03470	DMT family transporter
F6X01_RS03475	MFS transporter
F6X01_RS03480	TetR family transcriptional regulator
F6X01_RS03485	succinyl-diaminopimelate desuccinylase
F6X01_RS03490	DivIVA domain-containing protein
F6X01_RS03495	DUF3117 domain-containing protein
F6X01_RS03500	glycogen synthase
F6X01_RS03505	glucose-1-phosphate adenylyltransferase
F6X01_RS03510	O-methyltransferase
F6X01_RS03515	4-hydroxy-tetrahydrodipicolinate synthase
F6X01_RS03520	sec-independent translocase
F6X01_RS03525	cellulase family glycosylhydrolase
F6X01_RS03530	Mrp/NBP35 family ATP-binding protein
F6X01_RS03535	DUF1003 domain-containing protein
F6X01_RS03540	CBS domain-containing protein
F6X01_RS03545	hypothetical protein
F6X01_RS03550	COX15/CtaA family protein
F6X01_RS03555	aminopeptidase P family protein
F6X01_RS03560	hypothetical protein
F6X01_RS03565	C4-type zinc ribbon domain-containing protein
F6X01_RS03570	RNase P RNA component class A
F6X01_RS03575	hypothetical protein
F6X01_RS03580	hypothetical protein
F6X01_RS03585	ABC transporter substrate-binding protein
F6X01_RS03590	iron chelate uptake ABC transporter family permease subunit
F6X01_RS03595	ABC transporter ATP-binding protein
F6X01_RS03600	(2Fe-2S) ferredoxin domain-containing protein
F6X01_RS03605	YbdD/YjiX family protein
F6X01_RS03615	hypothetical protein
F6X01_RS03620	type I methionyl aminopeptidase
F6X01_RS03625	hypothetical protein
F6X01_RS03635	glutamine synthetase family protein
F6X01_RS03640	sterol carrier family protein
F6X01_RS03645	bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase
F6X01_RS03650	threonine/serine exporter family protein
F6X01_RS03655	Nif3-like dinuclear metal center hexameric protein
F6X01_RS03660	YdcF family protein
F6X01_RS03670	hypothetical protein
F6X01_RS03675	type I glutamate--ammonia ligase
F6X01_RS03680	RDD family protein
F6X01_RS03685	glycosyltransferase
F6X01_RS03690	DedA family protein
F6X01_RS03695	PTS transporter subunit EIIC
F6X01_RS03700	GntR family transcriptional regulator
F6X01_RS03705	PTS glucose/sucrose transporter subunit IIB
F6X01_RS03710	PTS glucose/sucrose transporter subunit IIB
F6X01_RS03715	PTS glucose transporter subunit IIA
F6X01_RS03720	DUF1440 domain-containing protein
F6X01_RS03725	DUF2029 domain-containing protein
F6X01_RS03730	ATP-binding cassette domain-containing protein
F6X01_RS03735	DUF4191 domain-containing protein
F6X01_RS03740	glycoside hydrolase
F6X01_RS03745	exo-alpha-sialidase
F6X01_RS03750	MFS transporter
F6X01_RS03755	hypothetical protein
F6X01_RS03760	CAMP factor pore-forming toxin 2
F6X01_RS03775	hypothetical protein
F6X01_RS03780	lipoyl synthase
F6X01_RS03785	heavy metal translocating P-type ATPase
F6X01_RS03790	cytochrome c oxidase assembly protein
F6X01_RS03795	lipoyl(octanoyl) transferase LipB
F6X01_RS03800	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase
F6X01_RS03805	leucyl aminopeptidase
F6X01_RS03810	hypothetical protein
F6X01_RS03815	hypothetical protein
F6X01_RS03820	DUF3043 domain-containing protein
F6X01_RS03825	PspA/IM30 family protein
F6X01_RS03830	hypothetical protein
F6X01_RS03835	iron-sulfur cluster insertion protein ErpA
F6X01_RS03840	cytochrome c oxidase subunit II
F6X01_RS03845	cytochrome c oxidase subunit I
F6X01_RS03850	cytochrome c oxidase subunit 4
F6X01_RS03855	hypothetical protein
F6X01_RS03860	ABC transporter ATP-binding protein
F6X01_RS03865	peptidase inhibitor family I36 protein
F6X01_RS03875	SDR family oxidoreductase
F6X01_RS03880	GuaB1 family IMP dehydrogenase-related protein
F6X01_RS03885	MGMT family protein
F6X01_RS03890	cytochrome bc complex cytochrome b subunit
F6X01_RS03895	Rieske (2Fe-2S) protein
F6X01_RS03900	cytochrome c
F6X01_RS03905	heme-copper oxidase subunit III
F6X01_RS03910	response regulator transcription factor
F6X01_RS03915	DUF1421 domain-containing protein
F6X01_RS03920	hypothetical protein
F6X01_RS03925	hypothetical protein
F6X01_RS03930	DUF5324 family protein
F6X01_RS03935	peptidylprolyl isomerase
F6X01_RS03940	rhomboid family intramembrane serine protease
F6X01_RS03945	DEDD exonuclease domain-containing protein
F6X01_RS03950	hypothetical protein
F6X01_RS03960	C40 family peptidase
F6X01_RS03965	ROK family glucokinase
F6X01_RS03970	hypothetical protein
F6X01_RS03975	1-acyl-sn-glycerol-3-phosphate acyltransferase
F6X01_RS03980	hypothetical protein
F6X01_RS03985	3-deoxy-7-phosphoheptulonate synthase class II
F6X01_RS03990	MBL fold metallo-hydrolase
F6X01_RS03995	DMT family transporter
F6X01_RS04000	protein kinase
F6X01_RS04005	ribonuclease
F6X01_RS04010	barstar family protein
F6X01_RS04015	polyprenyl synthetase family protein
F6X01_RS04025	AAA family ATPase
F6X01_RS04030	hypothetical protein
F6X01_RS04035	alpha/beta hydrolase
F6X01_RS04040	Hsp20/alpha crystallin family protein
F6X01_RS04045	GntP family permease
F6X01_RS04050	FCD domain-containing protein
F6X01_RS04055	FCD domain-containing protein
F6X01_RS04060	aminomethyl-transferring glycine dehydrogenase
F6X01_RS04065	glycine cleavage system protein GcvH
F6X01_RS04070	glycine cleavage system aminomethyltransferase GcvT
F6X01_RS04075	DUF3040 domain-containing protein
F6X01_RS04080	DUF3488 and transglutaminase-like domain-containing protein
F6X01_RS04085	DUF58 domain-containing protein
F6X01_RS04090	AAA family ATPase
F6X01_RS04095	division/cell wall cluster transcriptional repressor MraZ
F6X01_RS04100	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
F6X01_RS04105	septum formation initiator family protein
F6X01_RS04110	penicillin-binding protein 2
F6X01_RS04115	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
F6X01_RS04120	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
F6X01_RS04125	phospho-N-acetylmuramoyl-pentapeptide-transferase
F6X01_RS04130	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
F6X01_RS04135	putative lipid II flippase FtsW
F6X01_RS04140	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
F6X01_RS04145	UDP-N-acetylmuramate--L-alanine ligase
F6X01_RS04150	FtsQ-type POTRA domain-containing protein
F6X01_RS04155	cell division protein FtsZ
F6X01_RS04160	polyphenol oxidase family protein
F6X01_RS04165	cell division protein SepF
F6X01_RS04170	YggT family protein
F6X01_RS04175	DivIVA domain-containing protein
F6X01_RS04180	TraR/DksA family transcriptional regulator
F6X01_RS04185	signal peptidase II
F6X01_RS04190	RluA family pseudouridine synthase
F6X01_RS04195	pyruvate kinase
F6X01_RS04210	CrcB family protein
F6X01_RS04215	CrcB family protein
F6X01_RS04220	tRNA-Leu
F6X01_RS04225	response regulator
F6X01_RS04230	PaaI family thioesterase
F6X01_RS04235	DNA polymerase I
F6X01_RS04240	(Fe-S)-binding protein
F6X01_RS04245	FAD-binding oxidoreductase
F6X01_RS04250	class F sortase
F6X01_RS04260	30S ribosomal protein S1
F6X01_RS04265	HtaA domain-containing protein
F6X01_RS04270	ABC transporter substrate-binding protein
F6X01_RS04275	iron ABC transporter permease
F6X01_RS04280	heme ABC transporter ATP-binding protein
F6X01_RS04285	ATP-binding cassette domain-containing protein
F6X01_RS04290	ABC transporter ATP-binding protein/permease
F6X01_RS04295	dephospho-CoA kinase
F6X01_RS04300	HtaA domain-containing protein
F6X01_RS04305	ATP-binding protein
F6X01_RS04310	VWA domain-containing protein
F6X01_RS04315	hypothetical protein
F6X01_RS04320	cobaltochelatase subunit CobN
F6X01_RS04325	ABC transporter ATP-binding protein
F6X01_RS04330	iron ABC transporter permease
F6X01_RS04335	ABC transporter substrate-binding protein
F6X01_RS04340	hypothetical protein
F6X01_RS04355	hypothetical protein
F6X01_RS04360	hypothetical protein
F6X01_RS04370	lactococcin 972 family bacteriocin
F6X01_RS04375	excinuclease ABC subunit UvrB
F6X01_RS04385	TerC family protein
F6X01_RS04390	MBL fold metallo-hydrolase
F6X01_RS04395	maleylpyruvate isomerase family mycothiol-dependent enzyme
F6X01_RS04400	excinuclease ABC subunit UvrA
F6X01_RS04405	Rieske (2Fe-2S) protein
F6X01_RS04410	histidine phosphatase family protein
F6X01_RS04415	hypothetical protein
F6X01_RS04420	excinuclease ABC subunit UvrC
F6X01_RS04425	RNase adapter RapZ
F6X01_RS04430	YvcK family protein
F6X01_RS04435	DNA-binding protein WhiA
F6X01_RS04440	type I glyceraldehyde-3-phosphate dehydrogenase
F6X01_RS04445	phosphoglycerate kinase
F6X01_RS04450	triose-phosphate isomerase
F6X01_RS04455	preprotein translocase subunit SecG
F6X01_RS04460	RNA polymerase-binding protein RbpA
F6X01_RS04465	bifunctional folylpolyglutamate synthase/dihydrofolate synthase
F6X01_RS04470	DUF4233 domain-containing protein
F6X01_RS04475	nucleoside-diphosphate kinase
F6X01_RS04480	TIGR03960 family B12-binding radical SAM protein
F6X01_RS04485	TIGR03936 family radical SAM-associated protein
F6X01_RS04490	Rne/Rng family ribonuclease
F6X01_RS04495	50S ribosomal protein L21
F6X01_RS04500	50S ribosomal protein L27
F6X01_RS04505	hypothetical protein
F6X01_RS04510	TetR/AcrR family transcriptional regulator
F6X01_RS04515	MFS transporter
F6X01_RS04520	GTPase ObgE
F6X01_RS04525	glutamate 5-kinase
F6X01_RS04530	glutamate-5-semialdehyde dehydrogenase
F6X01_RS04535	nicotinate-nucleotide adenylyltransferase
F6X01_RS04540	ribosome silencing factor
F6X01_RS04545	histidine phosphatase family protein
F6X01_RS04550	tRNA-Ala
F6X01_RS04555	N-acetylmuramoyl-L-alanine amidase
F6X01_RS04565	hypothetical protein
F6X01_RS04570	hypothetical protein
F6X01_RS04575	hypothetical protein
F6X01_RS04580	hypothetical protein
F6X01_RS04600	hypothetical protein
F6X01_RS04605	flavin reductase family protein
F6X01_RS04610	hypothetical protein
F6X01_RS04615	hypothetical protein
F6X01_RS04620	TetR/AcrR family transcriptional regulator
F6X01_RS04640	FtsX-like permease family protein
F6X01_RS04645	ABC transporter ATP-binding protein
F6X01_RS04650	histidine kinase
F6X01_RS04655	response regulator transcription factor
F6X01_RS04665	hypothetical protein
F6X01_RS04670	hypothetical protein
F6X01_RS04675	Tm-1-like ATP-binding domain-containing protein
F6X01_RS04680	hypothetical protein
F6X01_RS04685	hypothetical protein
F6X01_RS04690	hypothetical protein
F6X01_RS04695	GntR family transcriptional regulator
F6X01_RS04715	ATP-binding cassette domain-containing protein
F6X01_RS04720	MarR family transcriptional regulator
F6X01_RS04725	hypothetical protein
F6X01_RS04730	phosphotriesterase
F6X01_RS04735	3-dehydro-L-gulonate-6-phosphate decarboxylase
F6X01_RS04740	L-ribulose-5-phosphate 3-epimerase
F6X01_RS04745	L-ribulose-5-phosphate 4-epimerase
F6X01_RS04750	sugar kinase
F6X01_RS04755	MFS transporter
F6X01_RS04760	hypothetical protein
F6X01_RS04765	hydroxyethylthiazole kinase
F6X01_RS04770	thiamine phosphate synthase
F6X01_RS04775	L-lactate dehydrogenase
F6X01_RS04780	NAD-dependent malic enzyme
F6X01_RS04785	hypothetical protein
F6X01_RS04790	hypothetical protein
F6X01_RS04795	DUF4192 domain-containing protein
F6X01_RS04800	VIT family protein
F6X01_RS04805	leucine--tRNA ligase
F6X01_RS04810	helix-hairpin-helix domain-containing protein
F6X01_RS04815	ComEC/Rec2 family competence protein
F6X01_RS04820	DEAD/DEAH box helicase family protein
F6X01_RS04825	DNA polymerase III subunit delta
F6X01_RS04830	30S ribosomal protein S20
F6X01_RS04835	alpha-amylase family protein
F6X01_RS04840	translation elongation factor 4
F6X01_RS04845	o-succinylbenzoate synthase
F6X01_RS04850	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
F6X01_RS04855	chorismate-binding protein
F6X01_RS04860	hypothetical protein
F6X01_RS04865	AMP-binding protein
F6X01_RS04870	1,4-dihydroxy-2-naphthoyl-CoA synthase
F6X01_RS04875	rhomboid family intramembrane serine protease
F6X01_RS04905	hypothetical protein
F6X01_RS04910	radical SAM family heme chaperone HemW
F6X01_RS04915	DUF3097 domain-containing protein
F6X01_RS04920	inositol monophosphatase
F6X01_RS04925	MBL fold metallo-hydrolase
F6X01_RS04930	heat-inducible transcriptional repressor HrcA
F6X01_RS04935	molecular chaperone DnaJ
F6X01_RS04940	16S rRNA (uracil(1498)-N(3))-methyltransferase
F6X01_RS04945	zinc-dependent dehydrogenase
F6X01_RS04950	PTS mannitol transporter subunit IICBA
F6X01_RS04955	DoxX family protein
F6X01_RS04960	RecQ family ATP-dependent DNA helicase
F6X01_RS04965	hypothetical protein
F6X01_RS04970	EamA family transporter
F6X01_RS04975	tRNA guanosine(34) transglycosylase Tgt
F6X01_RS04980	sensor histidine kinase
F6X01_RS04985	response regulator transcription factor
F6X01_RS04990	ATP-binding cassette domain-containing protein
F6X01_RS04995	ABC transporter permease
F6X01_RS05000	queuosine precursor transporter
F6X01_RS05005	prolyl aminopeptidase
F6X01_RS05010	hypothetical protein
F6X01_RS05015	phosphotransferase
F6X01_RS05020	PhoH family protein
F6X01_RS05025	rRNA maturation RNase YbeY
F6X01_RS05030	hemolysin family protein
F6X01_RS05035	GTPase Era
F6X01_RS05040	amidohydrolase family protein
F6X01_RS05045	2-isopropylmalate synthase
F6X01_RS05050	isoprenyl transferase
F6X01_RS05055	membrane protein
F6X01_RS05060	DNA repair protein RecO
F6X01_RS05065	histidine kinase
F6X01_RS05070	hypothetical protein
F6X01_RS05075	response regulator transcription factor
F6X01_RS05080	transcriptional repressor
F6X01_RS05085	glycine--tRNA ligase
F6X01_RS05090	succinate dehydrogenase cytochrome b subunit
F6X01_RS05095	fumarate reductase/succinate dehydrogenase flavoprotein subunit
F6X01_RS05100	succinate dehydrogenase/fumarate reductase iron-sulfur subunit
F6X01_RS05105	5,6-dimethylbenzimidazole synthase
F6X01_RS05110	tRNA dihydrouridine synthase DusB
F6X01_RS05115	HD domain-containing protein
F6X01_RS05120	ABC transporter permease
F6X01_RS05125	DNA primase
F6X01_RS05130	sigma-70 family RNA polymerase sigma factor
F6X01_RS05135	hypothetical protein
F6X01_RS05140	tRNA-Asn
F6X01_RS05145	MsnO8 family LLM class oxidoreductase
F6X01_RS05150	trehalose-6-phosphate synthase
F6X01_RS05155	trehalose-phosphatase
F6X01_RS05160	hypothetical protein
F6X01_RS05165	cysteine synthase A
F6X01_RS05170	PLP-dependent aminotransferase family protein
F6X01_RS05175	pyridoxal 5'-phosphate synthase lyase subunit PdxS
F6X01_RS05180	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
F6X01_RS05185	adenosylmethionine--8-amino-7-oxononanoate transaminase
F6X01_RS05190	dethiobiotin synthase
F6X01_RS05195	APC family permease
F6X01_RS05200	hypothetical protein
F6X01_RS05205	hypothetical protein
F6X01_RS05215	tRNA-Ile
F6X01_RS05220	hypothetical protein
F6X01_RS05225	hypothetical protein
F6X01_RS05230	HAD hydrolase family protein
F6X01_RS05235	hypothetical protein
F6X01_RS05245	MoxR family ATPase
F6X01_RS05250	DUF58 domain-containing protein
F6X01_RS05255	VWA domain-containing protein
F6X01_RS05260	VWA domain-containing protein
F6X01_RS05265	YggS family pyridoxal phosphate-dependent enzyme
F6X01_RS05270	DUF3145 family protein
F6X01_RS05275	beta-ketoacyl-[acyl-carrier-protein] synthase family protein
F6X01_RS05280	acyl carrier protein
F6X01_RS05285	ketoacyl-ACP synthase III
F6X01_RS05290	ACP S-malonyltransferase
F6X01_RS05295	2-dehydropantoate 2-reductase
F6X01_RS05300	hypothetical protein
F6X01_RS05305	sugar porter family MFS transporter
F6X01_RS05310	helix-turn-helix domain-containing protein
F6X01_RS05315	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
F6X01_RS05320	glycosyl hydrolase family 18 protein
F6X01_RS05325	DUF3052 domain-containing protein
F6X01_RS05330	fibronectin type III-like domain-contianing protein
F6X01_RS05335	isochorismatase family protein
F6X01_RS05340	hypothetical protein
F6X01_RS05345	aldo/keto reductase
F6X01_RS05350	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
F6X01_RS05355	aspartate carbamoyltransferase catalytic subunit
F6X01_RS05360	dihydroorotase
F6X01_RS05365	carbamoyl phosphate synthase small subunit
F6X01_RS05370	carbamoyl-phosphate synthase large subunit
F6X01_RS05375	dihydroorotate dehydrogenase electron transfer subunit
F6X01_RS05380	dihydroorotate dehydrogenase
F6X01_RS05385	orotidine-5'-phosphate decarboxylase
F6X01_RS05390	orotate phosphoribosyltransferase
F6X01_RS05395	fructosamine kinase family protein
F6X01_RS05400	30S ribosomal protein S12 methylthiotransferase RimO
F6X01_RS05405	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
F6X01_RS05410	CinA family protein
F6X01_RS05415	helix-turn-helix transcriptional regulator
F6X01_RS05420	DeoR/GlpR family DNA-binding transcription regulator
F6X01_RS05425	DUF3046 domain-containing protein
F6X01_RS05430	hypothetical protein
F6X01_RS05435	recombinase RecA
F6X01_RS05440	recombination regulator RecX
F6X01_RS05445	ribonuclease Y
F6X01_RS05450	aldose 1-epimerase family protein
F6X01_RS05455	YfcC family protein
F6X01_RS05460	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
F6X01_RS05465	antitoxin
F6X01_RS05470	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
F6X01_RS05475	diaminopimelate epimerase
F6X01_RS05480	GTPase HflX
F6X01_RS05485	ATP-dependent DNA helicase
F6X01_RS05490	LexA family transcriptional regulator
F6X01_RS05495	hypothetical protein
F6X01_RS05500	transcriptional regulator NrdR
F6X01_RS05505	vitamin B12-dependent ribonucleotide reductase
F6X01_RS05510	YbjN domain-containing protein
F6X01_RS05515	universal stress protein
F6X01_RS05525	ATP-dependent RNA helicase HrpA
F6X01_RS05530	thioesterase family protein
F6X01_RS05535	sigma-70 family RNA polymerase sigma factor
F6X01_RS05540	RNA polymerase sigma factor
F6X01_RS05545	beta-mannosidase
F6X01_RS05550	TetR/AcrR family transcriptional regulator
F6X01_RS05555	alpha/beta hydrolase
F6X01_RS05560	GNAT family N-acetyltransferase
F6X01_RS05565	hypothetical protein
F6X01_RS05570	hypothetical protein
F6X01_RS05575	FAD-dependent oxidoreductase
F6X01_RS05580	GNAT family N-acetyltransferase
F6X01_RS05585	hypothetical protein
F6X01_RS05590	type IIA DNA topoisomerase subunit B
F6X01_RS05595	anaerobic C4-dicarboxylate transporter
F6X01_RS05600	MFS transporter
F6X01_RS05605	DNA topoisomerase IV subunit A
F6X01_RS05610	DUF2183 domain-containing protein
F6X01_RS05615	DUF5998 family protein
F6X01_RS05620	alkaline phosphatase family protein
F6X01_RS05625	thymidine kinase
F6X01_RS05630	DUF3071 domain-containing protein
F6X01_RS05635	DUF4193 domain-containing protein
F6X01_RS05640	DUF4235 domain-containing protein
F6X01_RS05645	DUF3093 domain-containing protein
F6X01_RS05650	dUTP diphosphatase
F6X01_RS05655	DUF3710 domain-containing protein
F6X01_RS05660	OB-fold nucleic acid binding domain-containing protein
F6X01_RS05665	TrkA family potassium uptake protein
F6X01_RS05670	TrkA family potassium uptake protein
F6X01_RS05675	APC family permease
F6X01_RS05680	TRAM domain-containing protein
F6X01_RS05690	aconitate hydratase AcnA
F6X01_RS05695	1-deoxy-D-xylulose-5-phosphate synthase
F6X01_RS05700	ribonuclease D
F6X01_RS05705	DUF3000 domain-containing protein
F6X01_RS05710	peptide-methionine (R)-S-oxide reductase MsrB
F6X01_RS05715	hypothetical protein
F6X01_RS05720	helix-turn-helix transcriptional regulator
F6X01_RS05725	tryptophanase
F6X01_RS05730	amino acid permease
F6X01_RS05735	polyphosphate--nucleotide phosphotransferase
F6X01_RS05740	tRNA-Val
F6X01_RS05745	tRNA-Cys
F6X01_RS05750	tRNA-Gly
F6X01_RS05760	tRNA-Val
F6X01_RS05765	NAD(P)-dependent alcohol dehydrogenase
F6X01_RS05770	sensor histidine kinase
F6X01_RS05775	response regulator transcription factor
F6X01_RS05780	threonine--tRNA ligase
F6X01_RS05785	HIT domain-containing protein
F6X01_RS05790	CDP-alcohol phosphatidyltransferase family protein
F6X01_RS05795	CDP-alcohol phosphatidyltransferase family protein
F6X01_RS05800	DUF881 domain-containing protein
F6X01_RS05805	small basic family protein
F6X01_RS05810	DUF881 domain-containing protein
F6X01_RS05815	glycine cleavage system protein H
F6X01_RS05820	zinc-ribbon and FHA domain-containing protein
F6X01_RS05825	MerR family transcriptional regulator
F6X01_RS05830	bifunctional nuclease family protein
F6X01_RS05835	MerR family transcriptional regulator
F6X01_RS05840	YihY/virulence factor BrkB family protein
F6X01_RS05845	MFS transporter
F6X01_RS05850	pyrophosphate--fructose-6-phosphate 1-phosphotransferase
F6X01_RS05855	hypothetical protein
F6X01_RS05860	threonylcarbamoyl-AMP synthase
F6X01_RS05865	5'-methylthioadenosine/adenosylhomocysteine nucleosidase
F6X01_RS05870	NAD(+)/NADH kinase
F6X01_RS05875	IMPACT family protein
F6X01_RS05880	FUSC family protein
F6X01_RS05885	Hsp70 family protein
F6X01_RS05890	PAC2 family protein
F6X01_RS05895	hypothetical protein
F6X01_RS05900	peptidylprolyl isomerase
F6X01_RS05905	alpha/beta fold hydrolase
F6X01_RS05910	endonuclease NucS
F6X01_RS05915	DivIVA domain-containing protein
F6X01_RS05920	VOC family protein
F6X01_RS05935	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)
F6X01_RS05940	tetratricopeptide repeat protein
F6X01_RS05945	beta-phosphoglucomutase family hydrolase
F6X01_RS05950	glycoside hydrolase family 65 protein
F6X01_RS05955	glucose PTS transporter subunit IIA
F6X01_RS05960	NUDIX hydrolase
F6X01_RS05965	1,4-alpha-glucan branching protein GlgB
F6X01_RS05970	phosphotransferase
F6X01_RS05975	maltose alpha-D-glucosyltransferase
F6X01_RS05980	alpha-1,4-glucan--maltose-1-phosphate maltosyltransferase
F6X01_RS05985	glycogen debranching protein GlgX
F6X01_RS05990	cysteine desulfurase
F6X01_RS05995	tRNA 2-thiouridine(34) synthase MnmA
F6X01_RS06000	methionine synthase
F6X01_RS06005	hypothetical protein
F6X01_RS06010	hypothetical protein
F6X01_RS06015	amino acid-binding protein
F6X01_RS06020	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC
F6X01_RS06025	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
F6X01_RS06030	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
F6X01_RS06035	TIGR03085 family metal-binding protein
F6X01_RS06040	phosphoribosyl-AMP cyclohydrolase
F6X01_RS06045	hypothetical protein
F6X01_RS06050	Trp biosynthesis-associated membrane protein
F6X01_RS06055	hypothetical protein
F6X01_RS06060	indole-3-glycerol phosphate synthase TrpC
F6X01_RS06065	tryptophan synthase subunit beta
F6X01_RS06070	tryptophan synthase subunit alpha
F6X01_RS06075	prolipoprotein diacylglyceryl transferase
F6X01_RS06080	glutamate synthase large subunit
F6X01_RS06085	glutamate synthase subunit beta
F6X01_RS06090	hypothetical protein
F6X01_RS06095	penicillin binding protein PBP4B
F6X01_RS06100	DUF308 domain-containing protein
F6X01_RS06105	MurR/RpiR family transcriptional regulator
F6X01_RS06110	N-acetylmuramic acid 6-phosphate etherase
F6X01_RS06115	PTS transporter subunit EIIC
F6X01_RS06120	hypothetical protein
F6X01_RS06125	N-acetylglucosamine kinase
F6X01_RS06130	hypothetical protein
F6X01_RS06135	glycoside hydrolase family 1 protein
F6X01_RS06140	PTS cellobiose transporter subunit IIB
F6X01_RS06145	PTS sugar transporter subunit IIC
F6X01_RS06150	PTS lactose/cellobiose transporter subunit IIA
F6X01_RS06155	hypothetical protein
F6X01_RS06160	DNA polymerase III subunit alpha
F6X01_RS06165	hypothetical protein
F6X01_RS06170	histidinol dehydrogenase
F6X01_RS06175	histidinol-phosphate transaminase
F6X01_RS06180	imidazoleglycerol-phosphate dehydratase HisB
F6X01_RS06185	imidazole glycerol phosphate synthase subunit HisH
F6X01_RS06190	bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA
F6X01_RS06195	YebC/PmpR family DNA-binding transcriptional regulator
F6X01_RS06200	crossover junction endodeoxyribonuclease RuvC
F6X01_RS06205	Holliday junction branch migration protein RuvA
F6X01_RS06210	Holliday junction branch migration DNA helicase RuvB
F6X01_RS06215	preprotein translocase subunit YajC
F6X01_RS06220	protein translocase subunit SecD
F6X01_RS06225	protein translocase subunit SecF
F6X01_RS06230	adenine phosphoribosyltransferase
F6X01_RS06235	potassium channel family protein
F6X01_RS06240	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
F6X01_RS06245	DUF349 domain-containing protein
F6X01_RS06250	MBL fold metallo-hydrolase
F6X01_RS06255	histidine--tRNA ligase
F6X01_RS06260	DUF998 domain-containing protein
F6X01_RS06265	GNAT family N-acetyltransferase
F6X01_RS06270	acyl-CoA dehydratase activase-related protein
F6X01_RS06275	TetR family transcriptional regulator
F6X01_RS06280	hypothetical protein
F6X01_RS06290	aspartate--tRNA ligase
